,itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
0,Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,365,0.05814713,1253,0.199611928,1036,0.165042264,0.291300878,0.352316602,1.765007765
1,Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,289,0.046039782,1049,0.167113258,1036,0.165042264,0.275500477,0.278957529,1.66927228
2,Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,308,0.049066619,1253,0.199611928,1049,0.167113258,0.245810056,0.293612965,1.470918938
3,Almond Milk Peach Yogurt,Almond Milk Strawberry Yogurt,256,0.040782644,1049,0.167113258,1253,0.199611928,0.244041945,0.204309657,1.222581975
4,Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,360,0.057350594,1317,0.209807589,1412,0.224941773,0.273348519,0.254957507,1.215196784
5,Strawberry on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,357,0.056872672,1649,0.262697581,1354,0.215701955,0.216494845,0.26366322,1.003675859
9,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,295,0.046995625,1412,0.224941773,1317,0.209807589,0.208923513,0.223993926,0.995786253
10,Organic Greek Nonfat Yogurt With Mixed Berries,Organic Nonfat Greek Yogurt With Peaches,265,0.042216409,1459,0.232429212,1286,0.204869065,0.181631254,0.206065319,0.886572377
6,Peach on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,311,0.049544541,1685,0.26843264,1354,0.215701955,0.184569733,0.229689808,0.855670189
11,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,Strawberry Rhubarb Yogurt,298,0.047473547,1612,0.256803214,1408,0.224304544,0.184863524,0.211647727,0.824163077
7,Strawberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,331,0.052730685,1649,0.262697581,1685,0.26843264,0.200727714,0.196439169,0.747776849
12,Spinach Peas & Pear Stage 2 Baby Food,Broccoli & Apple Stage 2 Baby Food,297,0.04731424,1785,0.284363361,1472,0.234500206,0.166386555,0.201766304,0.709536925
17,Total 0% Raspberry Yogurt,Fat Free Blueberry Yogurt,370,0.058943666,2620,0.417384877,1522,0.242465566,0.141221374,0.243101183,0.582438886
236,Kiwi Sandia Sparkling Water,Curate Melon Pomelo Sparking Water,277,0.044128096,2015,0.321004018,1512,0.240872494,0.137468983,0.183201058,0.570712664
242,Vanilla Skyr Style Yogurt,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,274,0.043650174,1929,0.307303598,1612,0.256803214,0.142042509,0.169975186,0.553118112
237,Blackberry Cucumber Sparkling Water,Curate Melon Pomelo Sparking Water,314,0.050022462,2403,0.382815213,1512,0.240872494,0.130669996,0.207671958,0.542486167
245,Blueberry Yoghurt,Raspberry Yoghurt,325,0.051774842,2103,0.335023052,1799,0.286593661,0.154541132,0.18065592,0.539234297
